file,csv,rows,cols,seconds,error
a2_q03_A.mdx,a2_q03_A.csv,35,4,0.057,
a2_q06_A.mdx,a2_q06_A.csv,10,4,0.043,
a2_q07_A.mdx,a2_q07_A.csv,19,4,0.044,
a2_q08_A.mdx,a2_q08_A.csv,8,3,0.047,
a2_q11_A.mdx,a2_q11_A.csv,3,2,0.033,
a2_q17_B.mdx,a2_q17_B.csv,20,4,0.046,
a2_q19_B.mdx,a2_q19_B.csv,13,5,0.053,
a2_q23_B.mdx,a2_q23_B.csv,20,6,0.077,
a2_q24_B.mdx,a2_q24_B.csv,19,3,0.05,
a2_q28_B.mdx,a2_q28_B.csv,10,3,0.04,
a2_q31.mdx,a2_q31.csv,10,4,0.046,
a2_q32.mdx,a2_q32.csv,10,4,0.047,
a2_q33.mdx,a2_q33.csv,20,6,0.065,
