file,csv,rows,cols,seconds,error
a2_q03_A.mdx,a2_q03_A.csv,35,4,0.048,
a2_q06_A.mdx,a2_q06_A.csv,10,4,0.049,
a2_q07_A.mdx,a2_q07_A.csv,19,4,0.04,
a2_q08_A.mdx,a2_q08_A.csv,8,3,0.037,
a2_q11_A.mdx,a2_q11_A.csv,3,2,0.027,
a2_q17_B.mdx,a2_q17_B.csv,20,4,0.04,
a2_q19_B.mdx,a2_q19_B.csv,13,5,0.053,
a2_q23_B.mdx,a2_q23_B.csv,20,6,0.065,
a2_q24_B.mdx,a2_q24_B.csv,19,3,0.039,
a2_q28_B.mdx,a2_q28_B.csv,10,3,0.034,
a2_q31.mdx,a2_q31.csv,10,4,0.046,
a2_q32.mdx,a2_q32.csv,10,4,0.041,
a2_q33.mdx,a2_q33.csv,20,6,0.055,
